itemid;sku;description;category;daily_picks;volume_cm3;weight_kg;currentslot;optimalslot
1001;ELC-001;USB-C Cable 2m;Electronics;45;180.0;0.08;SLOT-0001;SLOT-0274
1002;ELC-002;USB-A to USB-C Cable 1m;Electronics;62;120.0;0.05;SLOT-0002;SLOT-0047
1003;ELC-003;Wireless Earbuds;Electronics;38;450.0;0.12;SLOT-0003;SLOT-0290
1004;ELC-004;Phone Charging Adapter;Electronics;85;80.0;0.06;SLOT-0004;SLOT-0020
1005;ELC-005;Screen Protector 6.1 inch;Electronics;74;60.0;0.02;SLOT-0005;SLOT-0032
1006;ELC-006;Laptop Stand Aluminium;Electronics;22;3200.0;1.2;SLOT-0006;SLOT-0528
1007;ELC-007;HDMI Cable 2m;Electronics;41;250.0;0.18;SLOT-0007;SLOT-0287
1008;ELC-008;Wireless Mouse;Electronics;55;680.0;0.09;SLOT-0008;SLOT-0257
1009;ELC-009;Mechanical Keyboard;Electronics;18;4500.0;0.85;SLOT-0009;SLOT-0539
1010;ELC-010;USB Webcam 1080p;Electronics;31;900.0;0.22;SLOT-0010;SLOT-0511
1011;ELC-011;USB Power Strip;Electronics;29;1200.0;0.55;SLOT-0011;SLOT-0514
1012;ELC-012;Smart Plug WiFi;Electronics;48;320.0;0.08;SLOT-0012;SLOT-0267
1013;ELC-013;Tablet Stand Adjustable;Electronics;27;580.0;0.35;SLOT-0013;SLOT-0522
1014;ELC-014;MicroSD Card 128GB;Electronics;66;15.0;0.002;SLOT-0014;SLOT-0044
1015;ELC-015;USB Hub 7-Port;Electronics;37;420.0;0.18;SLOT-0015;SLOT-0297
1016;ELC-016;Cable Management Box;Electronics;14;2800.0;0.42;SLOT-0016;SLOT-0547
1017;ELC-017;Noise-Cancelling Headphones;Electronics;25;3600.0;0.28;SLOT-0017;SLOT-0523
1018;ELC-018;USB-C Docking Station;Electronics;32;1500.0;0.62;SLOT-0018;SLOT-0505
1019;ELC-019;Portable Charger 10000mAh;Electronics;58;820.0;0.22;SLOT-0019;SLOT-0252
1020;ELC-020;LED Desk Lamp;Electronics;20;2200.0;0.85;SLOT-0020;SLOT-0535
1021;ELC-021;HDMI Splitter 4K;Electronics;16;290.0;0.12;SLOT-0021;SLOT-0543
1022;ELC-022;Wireless Charging Pad;Electronics;44;200.0;0.09;SLOT-0022;SLOT-0278
1023;ELC-023;USB Flash Drive 64GB;Electronics;71;15.0;0.01;SLOT-0023;SLOT-0038
1024;ELC-024;Ergonomic Mouse Pad;Electronics;19;1100.0;0.25;SLOT-0024;SLOT-0537
1025;ELC-025;Laptop Sleeve 15 inch;Electronics;28;2400.0;0.18;SLOT-0025;SLOT-0516
